codigo_estacion,region,altura,latitud,longitud,anio,mes,dia,agua_caida,fecha
170001,15,4084,-17.595,-69.4775,2023,3,23,,2023-03-23
170001,15,4084,-17.595,-69.4775,2023,3,24,,2023-03-24
170001,15,4084,-17.595,-69.4775,2023,3,25,,2023-03-25
170001,15,4084,-17.595,-69.4775,2023,3,26,,2023-03-26
170001,15,4084,-17.595,-69.4775,2023,3,27,,2023-03-27
170001,15,4084,-17.595,-69.4775,2023,3,28,,2023-03-28
170001,15,4084,-17.595,-69.4775,2023,3,29,,2023-03-29
170001,15,4084,-17.595,-69.4775,2023,3,30,,2023-03-30
170001,15,4084,-17.595,-69.4775,2023,3,31,,2023-03-31
170001,15,4084,-17.595,-69.4775,2023,4,1,,2023-04-01
170001,15,4084,-17.595,-69.4775,2023,4,2,,2023-04-02
170001,15,4084,-17.595,-69.4775,2023,4,3,,2023-04-03
170001,15,4084,-17.595,-69.4775,2023,4,4,,2023-04-04
170001,15,4084,-17.595,-69.4775,2023,4,5,,2023-04-05
170001,15,4084,-17.595,-69.4775,2023,4,6,,2023-04-06
170001,15,4084,-17.595,-69.4775,2023,4,7,,2023-04-07
170001,15,4084,-17.595,-69.4775,2023,4,8,,2023-04-08
170001,15,4084,-17.595,-69.4775,2023,4,9,,2023-04-09
170001,15,4084,-17.595,-69.4775,2023,4,10,,2023-04-10
170001,15,4084,-17.595,-69.4775,2023,4,11,,2023-04-11
170001,15,4084,-17.595,-69.4775,2023,4,12,,2023-04-12
170001,15,4084,-17.595,-69.4775,2023,4,13,,2023-04-13
170001,15,4084,-17.595,-69.4775,2023,4,14,,2023-04-14
170001,15,4084,-17.595,-69.4775,2023,4,15,,2023-04-15
170001,15,4084,-17.595,-69.4775,2023,4,16,,2023-04-16
170001,15,4084,-17.595,-69.4775,2023,4,17,,2023-04-17
170001,15,4084,-17.595,-69.4775,2023,4,18,,2023-04-18
170001,15,4084,-17.595,-69.4775,2023,4,19,,2023-04-19
170001,15,4084,-17.595,-69.4775,2023,4,20,,2023-04-20
170001,15,4084,-17.595,-69.4775,2023,4,21,,2023-04-21
170001,15,4084,-17.595,-69.4775,2023,4,22,,2023-04-22
170001,15,4084,-17.595,-69.4775,2023,4,23,,2023-04-23
170001,15,4084,-17.595,-69.4775,2023,4,24,,2023-04-24
170001,15,4084,-17.595,-69.4775,2023,4,25,,2023-04-25
170001,15,4084,-17.595,-69.4775,2023,4,26,,2023-04-26
170001,15,4084,-17.595,-69.4775,2023,4,27,,2023-04-27
170001,15,4084,-17.595,-69.4775,2023,4,28,,2023-04-28
170001,15,4084,-17.595,-69.4775,2023,4,29,,2023-04-29
170001,15,4084,-17.595,-69.4775,2023,4,30,,2023-04-30
170001,15,4084,-17.595,-69.4775,2023,5,1,,2023-05-01
170001,15,4084,-17.595,-69.4775,2023,5,2,,2023-05-02
170001,15,4084,-17.595,-69.4775,2023,5,3,,2023-05-03
170001,15,4084,-17.595,-69.4775,2023,5,4,,2023-05-04
170001,15,4084,-17.595,-69.4775,2023,5,5,,2023-05-05
170001,15,4084,-17.595,-69.4775,2023,5,6,,2023-05-06
170001,15,4084,-17.595,-69.4775,2023,5,7,,2023-05-07
170001,15,4084,-17.595,-69.4775,2023,5,8,,2023-05-08
170001,15,4084,-17.595,-69.4775,2023,5,9,,2023-05-09
170001,15,4084,-17.595,-69.4775,2023,5,10,,2023-05-10
170001,15,4084,-17.595,-69.4775,2023,5,11,,2023-05-11
170001,15,4084,-17.595,-69.4775,2023,5,12,,2023-05-12
170001,15,4084,-17.595,-69.4775,2023,5,13,,2023-05-13
170001,15,4084,-17.595,-69.4775,2023,5,14,,2023-05-14
170001,15,4084,-17.595,-69.4775,2023,5,15,,2023-05-15
170001,15,4084,-17.595,-69.4775,2023,5,16,,2023-05-16
170001,15,4084,-17.595,-69.4775,2023,5,17,,2023-05-17
170001,15,4084,-17.595,-69.4775,2023,5,18,,2023-05-18
170001,15,4084,-17.595,-69.4775,2023,5,19,,2023-05-19
170001,15,4084,-17.595,-69.4775,2023,5,20,,2023-05-20
170001,15,4084,-17.595,-69.4775,2023,5,21,,2023-05-21
170001,15,4084,-17.595,-69.4775,2023,5,22,,2023-05-22
170001,15,4084,-17.595,-69.4775,2023,5,23,,2023-05-23
170001,15,4084,-17.595,-69.4775,2023,5,24,,2023-05-24
170001,15,4084,-17.595,-69.4775,2023,5,25,,2023-05-25
170001,15,4084,-17.595,-69.4775,2023,5,26,,2023-05-26
170001,15,4084,-17.595,-69.4775,2023,5,27,,2023-05-27
170001,15,4084,-17.595,-69.4775,2023,5,28,,2023-05-28
170001,15,4084,-17.595,-69.4775,2023,5,29,,2023-05-29
170001,15,4084,-17.595,-69.4775,2023,5,30,,2023-05-30
170001,15,4084,-17.595,-69.4775,2023,5,31,,2023-05-31
170001,15,4084,-17.595,-69.4775,2023,6,1,,2023-06-01
170001,15,4084,-17.595,-69.4775,2023,6,2,,2023-06-02
170001,15,4084,-17.595,-69.4775,2023,6,3,,2023-06-03
170001,15,4084,-17.595,-69.4775,2023,6,4,,2023-06-04
170001,15,4084,-17.595,-69.4775,2023,6,5,,2023-06-05
170001,15,4084,-17.595,-69.4775,2023,6,6,,2023-06-06
170001,15,4084,-17.595,-69.4775,2023,6,7,,2023-06-07
170001,15,4084,-17.595,-69.4775,2023,6,8,,2023-06-08
170001,15,4084,-17.595,-69.4775,2023,6,9,,2023-06-09
170001,15,4084,-17.595,-69.4775,2023,6,10,,2023-06-10
170001,15,4084,-17.595,-69.4775,2023,6,11,,2023-06-11
170001,15,4084,-17.595,-69.4775,2023,6,12,,2023-06-12
170001,15,4084,-17.595,-69.4775,2023,6,13,,2023-06-13
170001,15,4084,-17.595,-69.4775,2023,6,14,,2023-06-14
170001,15,4084,-17.595,-69.4775,2023,6,15,,2023-06-15
170001,15,4084,-17.595,-69.4775,2023,6,16,,2023-06-16
170001,15,4084,-17.595,-69.4775,2023,6,17,,2023-06-17
170001,15,4084,-17.595,-69.4775,2023,6,18,,2023-06-18
170001,15,4084,-17.595,-69.4775,2023,6,19,,2023-06-19
170001,15,4084,-17.595,-69.4775,2023,6,20,,2023-06-20
170001,15,4084,-17.595,-69.4775,2023,6,21,,2023-06-21
170001,15,4084,-17.595,-69.4775,2023,6,22,,2023-06-22
170001,15,4084,-17.595,-69.4775,2023,6,23,,2023-06-23
170001,15,4084,-17.595,-69.4775,2023,6,24,,2023-06-24
170001,15,4084,-17.595,-69.4775,2023,6,25,,2023-06-25
170001,15,4084,-17.595,-69.4775,2023,6,26,,2023-06-26
170001,15,4084,-17.595,-69.4775,2023,6,27,,2023-06-27
170001,15,4084,-17.595,-69.4775,2023,6,28,,2023-06-28
170001,15,4084,-17.595,-69.4775,2023,6,29,,2023-06-29
170001,15,4084,-17.595,-69.4775,2023,6,30,,2023-06-30
170001,15,4084,-17.595,-69.4775,2023,7,1,,2023-07-01
170001,15,4084,-17.595,-69.4775,2023,7,2,,2023-07-02
170001,15,4084,-17.595,-69.4775,2023,7,3,,2023-07-03
170001,15,4084,-17.595,-69.4775,2023,7,4,,2023-07-04
170001,15,4084,-17.595,-69.4775,2023,7,5,,2023-07-05
170001,15,4084,-17.595,-69.4775,2023,7,6,,2023-07-06
