codigo_estacion,nombre_estacion,region,nombre_region,altura,latitud,longitud,anio,mes,agua_caida
180005,"Chacalluta, Arica Ap.",15,Arica y Parinacota,51,-18.35555,-70.34028,2022,6,0.0
180005,"Chacalluta, Arica Ap.",15,Arica y Parinacota,51,-18.35555,-70.34028,2022,7,0.0
180005,"Chacalluta, Arica Ap.",15,Arica y Parinacota,51,-18.35555,-70.34028,2022,8,0.0
180005,"Chacalluta, Arica Ap.",15,Arica y Parinacota,51,-18.35555,-70.34028,2022,9,0.0
180005,"Chacalluta, Arica Ap.",15,Arica y Parinacota,51,-18.35555,-70.34028,2022,10,0.0
180005,"Chacalluta, Arica Ap.",15,Arica y Parinacota,51,-18.35555,-70.34028,2022,11,0.0
180005,"Chacalluta, Arica Ap.",15,Arica y Parinacota,51,-18.35555,-70.34028,2022,12,0.0
180005,"Chacalluta, Arica Ap.",15,Arica y Parinacota,51,-18.35555,-70.34028,2023,1,0.20000000298023224
180005,"Chacalluta, Arica Ap.",15,Arica y Parinacota,51,-18.35555,-70.34028,2023,2,1.100000023841858
180005,"Chacalluta, Arica Ap.",15,Arica y Parinacota,51,-18.35555,-70.34028,2023,3,0.0
180005,"Chacalluta, Arica Ap.",15,Arica y Parinacota,51,-18.35555,-70.34028,2023,4,0.0
180005,"Chacalluta, Arica Ap.",15,Arica y Parinacota,51,-18.35555,-70.34028,2023,5,0.0
180005,"Chacalluta, Arica Ap.",15,Arica y Parinacota,51,-18.35555,-70.34028,2023,6,0.0
180005,"Chacalluta, Arica Ap.",15,Arica y Parinacota,51,-18.35555,-70.34028,2023,7,1.5
180005,"Chacalluta, Arica Ap.",15,Arica y Parinacota,51,-18.35555,-70.34028,2023,8,0.10000000149011612
180005,"Chacalluta, Arica Ap.",15,Arica y Parinacota,51,-18.35555,-70.34028,2023,9,0.20000000298023224
180005,"Chacalluta, Arica Ap.",15,Arica y Parinacota,51,-18.35555,-70.34028,2023,10,0.0
180005,"Chacalluta, Arica Ap.",15,Arica y Parinacota,51,-18.35555,-70.34028,2023,11,0.0
180005,"Chacalluta, Arica Ap.",15,Arica y Parinacota,51,-18.35555,-70.34028,2023,12,0.10000000149011612
180005,"Chacalluta, Arica Ap.",15,Arica y Parinacota,51,-18.35555,-70.34028,2024,1,0.0
180005,"Chacalluta, Arica Ap.",15,Arica y Parinacota,51,-18.35555,-70.34028,2024,2,0.4000000059604645
180005,"Chacalluta, Arica Ap.",15,Arica y Parinacota,51,-18.35555,-70.34028,2024,3,0.0
180005,"Chacalluta, Arica Ap.",15,Arica y Parinacota,51,-18.35555,-70.34028,2024,4,0.0
180005,"Chacalluta, Arica Ap.",15,Arica y Parinacota,51,-18.35555,-70.34028,2024,5,0.0
180005,"Chacalluta, Arica Ap.",15,Arica y Parinacota,51,-18.35555,-70.34028,2024,6,0.0
180005,"Chacalluta, Arica Ap.",15,Arica y Parinacota,51,-18.35555,-70.34028,2024,7,0.0
180005,"Chacalluta, Arica Ap.",15,Arica y Parinacota,51,-18.35555,-70.34028,2024,8,0.0
180005,"Chacalluta, Arica Ap.",15,Arica y Parinacota,51,-18.35555,-70.34028,2024,9,0.0
180005,"Chacalluta, Arica Ap.",15,Arica y Parinacota,51,-18.35555,-70.34028,2024,10,0.0
180005,"Chacalluta, Arica Ap.",15,Arica y Parinacota,51,-18.35555,-70.34028,2024,11,0.0
180005,"Chacalluta, Arica Ap.",15,Arica y Parinacota,51,-18.35555,-70.34028,2024,12,0.0
